Selasphorus platycercus,Broad-tailed hummingbird
Chroicocephalus scopulinus,Red-billed gull
Aechmophorus occidentalis,Western grebe
Hemiphaga novaeseelandiae,Kererū
Xema sabini,Sabine's gull
Ramphastos sulfuratus,Keel-billed toucan
Dacelo novaeguineae,Laughing kookaburra
Fulica atra,Eurasian coot
Hirundo rustica erythrogaster,Hirundo rustica erythrogaster --
Calypte costae,Costa's hummingbird
Calypte anna,Anna's hummingbird
Colaptes auratus cafer,Northern flicker
Sula nebouxii,Blue-footed booby
Copsychus saularis,Oriental magpie-robin
Selasphorus sasin,Allen's hummingbird
Selasphorus rufus,Rufous hummingbird
Calothorax lucifer,Lucifer sheartail
Pycnonotus barbatus,Common bulbul
Larus glaucescens occidentalis,Larus glaucescens occidentalis --
Aphelocoma woodhouseii,Woodhouse's scrub jay
Florisuga mellivora,White-necked jacobin
Haematopus finschi,South Island oystercatcher
Falcipennis canadensis,Spruce grouse
Archilochus alexandri,Black-chinned hummingbird
Circus cyaneus,Hen harrier
Ardea alba modesta,Eastern great egret
Myiarchus crinitus,Great crested flycatcher
Buteo regalis,Ferruginous hawk
Aeronautes saxatalis,White-throated swift
Chaetura vauxi,Vaux's swift
Chaetura pelagica,Chimney swift
Setophaga pensylvanica,Chestnut-sided warbler
Lanius ludovicianus,Loggerhead shrike
Anhinga anhinga,Anhinga
Acridotheres tristis,Common myna
Sitta pygmaea,Pygmy nuthatch
Actophilornis africanus,African jacana
Sitta canadensis,Red-breasted nuthatch
Sitta europaea,Eurasian nuthatch
Sitta pusilla,Brown-headed nuthatch
Apus apus,Common swift
Sturnus vulgaris,Common starling
Seiurus aurocapilla,Ovenbird
Motacilla flava,Western yellow wagtail
Vireo griseus,White-eyed vireo
Toxostoma longirostre,Long-billed thrasher
Calidris alba,Sanderling
Toxostoma redivivum,California thrasher
Gallinula galeata,Common gallinule
Calidris himantopus,Stilt sandpiper
Eugenes fulgens,Rivoli's hummingbird
Icterus wagleri,Black-vented oriole
Icterus parisorum,Scott's oriole
Buteo platypterus,Broad-winged hawk
Gallinago gallinago,Common snipe
Icterus spurius,Orchard oriole
Calidris minutilla,Least sandpiper
Dumetella carolinensis,Gray catbird
Porphyrio hochstetteri,South Island takahē
Calidris fuscicollis,White-rumped sandpiper
Phalaropus tricolor,Wilson's phalarope
Colaptes auratus auratus,Colaptes auratus auratus --
Melanotis caerulescens,Blue mockingbird
Tiaris olivaceus,Yellow-faced grassquit
Oreoscoptes montanus,Sage thrasher
Limnodromus scolopaceus,Long-billed dowitcher
Tringa solitaria,Solitary sandpiper
Sitta carolinensis,White-breasted nuthatch
Tringa totanus,Common redshank
Dendrocygna autumnalis,Black-bellied whistling duck
Dendrocygna viduata,White-faced whistling duck
Dendrocygna bicolor,Fulvous whistling duck
Icterus abeillei,Black-backed oriole
Vanellus chilensis,Southern lapwing
Cygnus buccinator,Trumpeter swan
Cygnus cygnus,Whooper swan
Cygnus columbianus,Tundra swan
Cygnus olor,Mute swan
Icterus galbula,Baltimore oriole
Anas platyrhynchos,Mallard
Anas acuta,Northern pintail
Anas crecca,Eurasian teal
Anas cyanoptera,Cinnamon teal
Anas fulvigula,Mottled duck
Anas discors,Blue-winged teal
Anas strepera,Gadwall
Anas clypeata,Northern shoveler
Anas chlorotis,Brown teal
Rhipidura leucophrys,Willie wagtail
Anas americana,American wigeon
Bucephala albeola,Bufflehead
Mergus serrator,Red-breasted merganser
Mergus merganser,Common merganser
Anser anser,Greylag goose
Anser albifrons,Greater white-fronted goose
Somateria mollissima,Common eider
Rallus obsoletus,Ridgway's rail
Platycercus elegans,Crimson rosella
Melanitta fusca,Velvet scoter
Milvus migrans,Black kite
Gelochelidon nilotica,Gull-billed tern
Ninox novaeseelandiae novaeseelandiae,Morepork
Melanitta perspicillata,Surf scoter
Aythya collaris,Ring-necked duck
Aythya ferina,Common pochard
Aythya fuligula,Tufted duck
Numenius americanus,Long-billed curlew
Chen caerulescens,Snow goose
Chamaea fasciata,Wrentit
Branta canadensis,Canada goose
Thalasseus elegans,Elegant tern
Branta sandvicensis,Nene (bird)
Aythya americana,Redhead (bird)
Aix sponsa,Wood duck
Lophodytes cucullatus,Hooded merganser
Histrionicus histrionicus,Harlequin duck
Aratinga nenday,Nanday parakeet
Psittacara holochlorus,Green parakeet
Cairina moschata,Muscovy duck
Netta rufina,Red-crested pochard
Psittacara erythrogenys,Red-masked parakeet
Sayornis saya,Say's phoebe
Aythya valisineria,Canvasback
Picoides albolarvatus,White-headed woodpecker
Vermivora cyanoptera,Blue-winged warbler
Corvus caurinus,Northwestern crow
Asio otus,Long-eared owl
Corvus brachyrhynchos,American crow
Clangula hyemalis,Long-tailed duck
Chenonetta jubata,Australian wood duck
Thalasseus sandvicensis,Sandwich tern
Eolophus roseicapilla,Galah
Colaptes rubiginosus,Golden-olive woodpecker
Meleagris gallopavo silvestris,Wild turkey
Ptiliogonys cinereus,Grey silky-flycatcher
Elanoides forficatus,Swallow-tailed kite
Carduelis carduelis,European goldfinch
Cassiculus melanicterus,Mexican cacique
Dendragapus fuliginosus,Sooty grouse
Psaltriparus minimus,American bushtit
Aegithalos caudatus,Long-tailed tit
Zosterops lateralis lateralis,Silvereye
Haliaeetus leucogaster,White-bellied sea eagle
Uria aalge,Common murre
Tringa semipalmata inornatus,Tringa semipalmata inornatus --
Alauda arvensis,Eurasian skylark
Galerida cristata,Crested lark
Delichon urbicum,Common house martin
Helmitheros vermivorum,Worm-eating warbler
Hylocharis leucotis,White-eared hummingbird
Mimus polyglottos,Northern mockingbird
Gymnorhina tibicen,Australian magpie
Alcedo atthis,Common kingfisher
Streptopelia chinensis,Spotted dove
Bombycilla cedrorum,Cedar waxwing
Bombycilla garrulus,Bohemian waxwing
Tadorna tadorna,Common shelduck
Petroica australis australis,South Island robin
Amazona autumnalis,Red-lored amazon
Dendragapus obscurus,Dusky grouse
Catherpes mexicanus,Canyon wren
Tadorna ferruginea,Ruddy shelduck
Campylorhynchus brunneicapillus,Cactus wren
Campylorhynchus rufinucha,Veracruz wren
Rhipidura fuliginosa,New Zealand fantail
Polioptila melanura,Black-tailed gnatcatcher
Pelecanus occidentalis carolinensis,Pelecanus occidentalis carolinensis --
Melozone aberti,Abert's towhee
Melozone crissalis,California towhee
Thryothorus ludovicianus,Carolina wren
Parabuteo unicinctus,Harris's hawk
Anas platyrhynchos domesticus,Domestic duck
Troglodytes aedon,House wren
Buteo lineatus elegans,Buteo lineatus elegans --
Thamnophilus doliatus,Barred antshrike
Thryomanes bewickii,Bewick's wren
Tadorna variegata,Paradise shelduck
Myioborus miniatus,Slate-throated whitestart
Phalacrocorax varius varius,Phalacrocorax varius varius --
Myioborus pictus,Painted whitestart
Larus argentatus smithsonianus,American herring gull
Parkesia motacilla,Louisiana waterthrush
Sula granti,Nazca booby
Ara macao,Scarlet macaw
Peucaea ruficauda,Stripe-headed sparrow
Calidris subruficollis,Buff-breasted sandpiper
Phoenicopterus roseus,Greater flamingo
Morus bassanus,Northern gannet
Pelecanus occidentalis californicus,Pelecanus occidentalis californicus --
Glaucidium brasilianum,Ferruginous pygmy owl
Oxyura jamaicensis,Ruddy duck
Myiarchus cinerascens,Ash-throated flycatcher
Chloroceryle americana,Green kingfisher
Sturnella neglecta,Western meadowlark
Ramphastos ambiguus,Yellow-throated toucan
Paroaria coronata,Red-crested cardinal
Buteo buteo,Common buzzard
Myiodynastes luteiventris,Sulphur-bellied flycatcher
Contopus sordidulus,Western wood pewee
Corvus corone,Carrion crow
Cyanoramphus novaezelandiae,Red-crowned parakeet
Contopus virens,Eastern wood pewee
Contopus pertinax,Greater pewee
Contopus cooperi,Olive-sided flycatcher
Larus argentatus,European herring gull
Halcyon smyrnensis,White-throated kingfisher
Onychognathus morio,Red-winged starling
Cyanocompsa parellina,Blue bunting
Cistothorus palustris,Marsh wren
Tyto alba,Western barn owl
Trogon caligatus,Gartered trogon
Corvus monedula,Western jackdaw
Corvus ossifragus,Fish crow
Spheniscus demersus,African penguin
Corvus frugilegus,Rook (bird)
Corvus splendens,House crow
Branta bernicla,Brant (goose)
Larus hyperboreus,Glaucous gull
Columba livia domestica,Domestic pigeon
Garrulus glandarius,Eurasian jay
Anser anser domesticus,Domestic goose
Mitrephanes phaeocercus,Northern tufted flycatcher
Ardenna creatopus,Pink-footed shearwater
Ardenna gravis,Great shearwater
background,Background
